text,label,level
start from as little as you can  you never know  this may be the difference of tomorrow,0,A1
hatred and anger are the greatest poison to the happiness of a good mind there is  in the very feeling of those passions  something harsh  jarring  and convulsive  something that tears and distracts the breast  and is altogether destructive of that composure and tranquillity of mind which is so necessary to happiness  and which is best promoted by the contrary passions of gratitude and love,3,B2
the feeling of sleepiness when you are not in bed  and cant get there  is the meanest feeling in the world,0,A1
the first draught serveth for health  the second for pleasure  the third for shame  and the fourth for madness,2,B1
the facts of variability  of the struggle for existence  of adaptation to conditions  were notorious enough  but none of us had suspected that the road to the heart of the species problem lay through them  until darwin and wallace dispelled the darkness,2,B1
day to day is a process dream it  plan it  do it  and make it happen youre what you act,0,A1
think of good posture as your bodys projection of a positive message to those you meet,3,B2
in italy  food is an expression of love it is how you show those around you that you care for them having a love for food means you also have a love for those you are preparing it for and for yourself,0,A1
i think all wishes are the same  really  she continued whether they ask for this  that  or the other  what they are really asking for is happiness,1,A2
i dont know that human beings were meant to mate for life or be monogamous but  for me  the aspect of marriage that is troubling is that its a contract that is governed by the state  and i dont want the state to have control over my personal affairs,2,B1
if someone is trying to share a laugh and you personally do not find it funny  then just move on and leave it alone do not steal someone elses humor,0,A1
the rich control our politics to a huge extend in return they get tax cuts and deregulation its been and is an amazing ride for the rich,1,A2
the donkey which brought you to this door must be dismissed if you want to get through it,1,A2
acknowledging the good that you already have in your life is the foundation for all abundance,2,B1
hysterical optimism will prevail until the world again admits the existence of tragedy  and it cannot admit the existence of tragedy until it again distinguishes between good and evil   hysterical optimism as a sin against knowledge,4,C1
but as i have noticed on more than one occaision  life itself is unfair  and there is no complaint department  so we might as well accept things the way they happen  clean up the mess  and move on,1,A2
believing in unknown future  destiny  predestination without working hard to see it through is a mere fantasy,3,B2
if you do the same thing every day at the same time for the same length of time  youll save yourself from many a sink routine is a condition of survival,1,A2
my mom means the world to me shes always been the one to get me up early for work  help me with my make up and hair  and just be there to support me in whatever i do she always makes sure that no matter what  im happy in what im doing,0,A1
here was an absolutely compelling road sign stay on the road of objective truth  there is objective being and objective value stay on the road there is truth there is a point and purpose and essence to it all keep searching you will find it,2,B1
you cannot step twice into the same river  for other waters are continually flowing on,2,B1
no relationship can truly grow if you go on holding back if you remain clever and go on safeguarding and protecting yourself  only personalities meet  and the essential centers remain alone then only your mask is related  not you whenever such a thing happens  there are four persons in the relationship  not two two false persons go on meeting  and the two real persons remain worlds apart,1,A2
freedom has cost too much blood and agony to be relinquished at the cheap price of rhetoric,3,B2
steady faith is stronger than destiny destiny is the result of causes  mostly accidental  and is therefore loosely woven confidence and good hope will overcome it easily,3,B2
after every voyage  we bring with us renewed mind  refreshed soul and new viewpoints on life,3,B2
if human lives be for their very brevity  sweet then beast lives are sweeter still,3,B2
sometimes  reading my own media  the negativity can upset me  but i just deal with things on a positive basis i mean  i have up to 20 000 people singing my words back to me on a nightly basis  they share my hopes and fears  and they relate to my own life experiences life can be pretty isolating  but that connection is always amazing,2,B1
what will your family think  me showing up on their doorstep with my suitcase in handill carry your suitcase  he said,0,A1
whether you dream big or dream small  chances are your dream will come true if you believe in it and really work on it,0,A1
every time a champion makes a decision they have a chance to learn something new  regardless of the outcome,2,B1
success or failure in business is caused more by the mental attitude even than by mental capacities,2,B1
his own true hidden reality that he had desired to know grew palpable  recognizable it seemed to him just this a great  glad  abounding hope that he had saved his brother  too expansive to be contained by the limited form of a sole man  it yearned for a new embodiment infinite as the starswhat did it matter to that true reality that the mans brain shrank  shrank  till it was nothing  that the mans body could not retain the huge pain of his heart  and heaved it out through the red exit riven at the neck that hurtling blackness blotted out forever the mans sight  hearing  sense,2,B1
i dont want you to go she reached up to touch his face and pull him down to her i want this  rain i want you,0,A1
some people are so addicted to their misery that they will destroy anything that gets in the way of their fix,2,B1
emblematic of this era was the prolific viennese surgeon theodor billroth born in 1821  billroth studied music and surgery with almost equal verve  the professions still often go hand in hand both push manual skill to its limit  both mature with practice and age  both depend on immediacy  precision  and opposable thumbs,3,B2
looking at her in the hospital he had thought  i dont know you  who you are  does it matter if we live or die,0,A1
history is a rorschach test  people what you see when you look at it tells you as much about yourself as it does about the past,0,A1
you have a great body it is an intricate piece of technology and a sophisticated supercomputer it runs on peanuts and even regenerates itself your relationship with your body is one of the most important relationships youll ever have and since repairs are expensive and spare parts are hard to come by  it pays to make that relationship good,1,A2
he loved me and didnt want me hurt what was worse  he didnt even understand that i had the right to be hurt,0,A1
growing old is humbling and it takes effort to accomplish this stage of life with dignity,3,B2
to be in the present time  keep yourself busy always or else you will find yourself either in the past or in the future,0,A1
war will exist until that distant day when the conscientious objector enjoys the same reputation and prestige that the warrior does today,3,B2
just at that moment she glanced towards him and saw him smiling at her  his eyes lingering on her with warmth and an indefinable something else her heart caught in her chest,2,B1
lets be clear  for people like me  who are obsessed with story and for whom words are their medium  writing is the best job possible i work hard  but i earn more than the national average wage while i play with my imagination  and for me  thats a dream,2,B1
it is difficult to love someone who loves you  but easy to hate someone who loves you  and love someone who hates you,0,A1
even the top motivational speakers and inspirational writers are constantly reading books from other selfimprovement people  because they truly understand that knowledge has no limit to it,2,B1
the brain where words mean something the heart where words feel something when both work together kaboom,0,A1
materialism  attachment to things of the world  includes pride many religious people suffer from pride taking pleasure or even delight in being good  or religious,3,B2
typography fostered the modern idea of individuality  but it destroyed the medieval sense of community and integration,4,C1
to deprive a gregarious creature of companionship is to maim it  to outrage its nature the prisoner and the cenobite are aware that the herd exists beyond their exile  they are an aspect of it but when the herd no longer exists  there is  for the herd creature  no longer entity  a part of no whole  a freak without a place if he cannot hold on to his reason  then he is lost indeed  most utterly  most fearfully lost  so that he becomes no more than the twitch in the limb of a corpse,2,B1
science attempts to find logic and simplicity in nature mathematics attempts to establish order and simplicity in human thought,4,C1
your lost friends are not dead  but gone before  advanced a stage or two upon that road which you must travel in the steps they trod,1,A2
it is not easy to let go  but when you do  not only do you realize the strength that lies within you  you also create an opportunity to see god perform the best of miracles in your life,1,A2
if you commit yourself to living according to his word your potential will be unlocked  and in time  what may look small now will grow into something significant,1,A2
and there you have itif i knew that i could only have a few nights in that mans arms or nothing  i would take those magic nights and use them to keep me warm for the rest of my life,0,A1
im in love with red i think its such a passionate color every flag of every country pretty much has red it it its power  theres no fence sitting with red either you love it or you dont i think its blood and strength and life i do love red i love all colors great shades of blue  you find them in nature theyre all magic,1,A2
thinking is contagious  so choose whom you surround yourself with carefully or at least take precautions so as not to infect yourself with other peoples thinking,2,B1
she sat in a corner warm with sunlight  a copy of home notes open unread upon her knee  and watched the green meadows flying past while the business men in the carriage talked about news in the papers awful  as usual their golf  their gardeners  and the detective stories they were reading,1,A2
all of the emotions that hit people at times like these  all of them  were coursing through us both like a secret we couldnt tell because if we said everything we were thinking and feeling right thenif we laid it all out for one anotherwe might not like the way the words strung together or the way fear and hope and bitterness and love mashed up into one big mess in the pits of our stomachs,1,A2
it is easy to give without loving yet difficult to love without givingafter all love is a vern  it must be demonstrated genuinely,1,A2
we must never forget our teachers and our lecturers in their individual capacities have contributed to our academic  professional and personal development,2,B1
hidden in this huge city beats in unison the heart of a whole people seeking to find their route to a better future,2,B1
when a group of people get up from a table  the table doesntknow which way any of them will go,0,A1
the point i am trying to make is that words are a mysterious  ambiguous  ambivalent  and perfidious phenomenon they can be rays of light in a realm of darkness    they can equally be lethal arrows worst of all  at times they can be one or the other they can even be both at once,2,B1
when an individual is protesting societys refusal to acknowledge his dignity as a human being  his very act of protest confers dignity on him,3,B2
robin williams is one more example  that genius people are genius for a reason  and that reason is feeling without reasoning depression is for sensitive people sensitive people sense the world as it is  and they cant cope with it sensitive people need a better  more tender world to live in matter of fact  we all do,2,B1
all tyranny needs to gain a foothold is for people of good conscience to remain silent,3,B2
youre the man who stands on the street corner with a roll of toilet paper  and written on each square are the words  i love you and each passerby  no matter who  gets a square all his or her own i dont want my square of toilet p,0,A1
she should be on a hill somewhere  under a fruit tree  with the sun and clouds above her and the rain to wash her clean,0,A1
we do not want to old to be sharper than we it is bad enough that they were there first  and got the best things,0,A1
rights are a protection from society but only by fulfilling their obligations to society can the individual give meaning to that protection v  from ideology towards equilibrium,3,B2
there are 80 million moms in the united states forty million stay at home with their children,0,A1
and really  how insulting is it that to suggest that the best thing women can do is raise other people to do incredible things im betting some of those women would like to do great things of their own,0,A1
if you ask a tree how he feels to know that hes spreading his fragrance and making people happy  i dont think a tree looks at it that way i am just like that  and it is just my nature to be like this,0,A1
there is nothing for it but for all of us to invent our own ideal libraries of classics i would say that such a library ought to be composed half of books we have read and that have really counted for us  and half of books we propose to read and presume will come to countleaving a section of empty shelves for surprises and occasional discoveries,2,B1
game theory is a branch of  originally  applied mathematics  used mostly in economics and political science  a little bit in biology  that gives us a mathematical taxonomy of social life  and it predicts what people are likely to do and believe others will do in cases where everyones actions affect everyone else,1,A2
the single most important human insight to be gained from this way of comparing societies is perhaps the realization that everything could have been different in our own society  that the way we live is only one among innumerable ways of life which humans have adopted if we glance sideways and backwards  we will quickly discover that modern society  with its many possibilities and seducing offers  its dizzying complexity and its impressive technological advances  is a way of life which has not been tried out for long perhaps  psychologically speaking  we have just left the cave in terms of the history of our species  we have but spent a moment in modern societies    anthropology may not provide the answer to the question of the meaning of life  but at least it can tell us that there are many ways in which to make a life meaningful,1,A2
one of the tragic ironies of the second half of the 20th century is that when colonies in the developing world freed themselves from european rule  they often slid back into warfare  this time intensified by modern weaponry  organized militias  and the freedom of young men to defy tribal elders77 as we shall see in the next chapter  this development is a countercurrent to the historical decline of violence  but it is also a demonstration of the role of leviathans in propelling the decline,3,B2
what we call miracles is just whats supposed to happen we either go with it or stand in its way,1,A2
we all have to feed the greed of other people until we find people to feed our greed and life goes on,0,A1
do a loonygoony dance cross the kitchen floor  put something silly in the world that aint been there before,0,A1
progress of the human society is predicated upon the proper functioning of a key element of the human mind  that is reasoning,1,A2
im very  very lazy i love to sit in a chair and look out the window and do nothing,0,A1
by calling into question the very ideal of a universal  autonomous reason  which was  in the enlightenment  the basis for rejecting religious thought  and further demonstrating that all knowledge is grounded in narrative or myth  lyotard relativizes  secular  philosophys claim to autonomy and so grants the legitimacy of a philosophy that grounds itself in christian faith previously such a distinctly christian philosophy would have been exiled from the pure arena of philosophy because of its infection with bias and prejudice lyotards critique  however  demonstrates that no philosophy  indeed  no knowledge  is untainted by prejudice or faith commitments in this way the playing field is leveled  and new opportunities to voice a christian philosophy are created thus lyotards postmodern critique of metanarratives  rather than being a formidable foe of christian faith and thought  can in fact be enlisted as an ally in the construction of a christian philosophy,3,B2
i only hope that we never lose sight of one thing  that it was all started by a mouse,0,A1
the most important thing for me is to have real friendship between egyptians and americans,0,A1
just as god expressed his great love by giving his son to die for our redemption  so we will express our love for god by giving to others,0,A1
where there is love there is courage where there is courage there is peace where there is peace there is godand when you have god  you have everything,1,A2
 the novel  arguably the authors best  had a disquieting power  like a sleeping crocodile,4,C1
preach with authority the authority for us is the word of god preach with simplicity    preach with urgency    heaven and hell are at stake preach for a decision,4,C1
maybe it was wrong  or maybe impossible  but i wanted the truth to be one thing one solid thing,2,B1
do not just look at your boyfriend as just a boyfriend look at him as a friend  too,0,A1
distraction leaches the authenticity out of our communications when we are not emotionally present  we are gliding over the surface of our interactions and we never tangle in the depths where the nuances of our skills are tested and refined a medical professor describes the easy familiarity with which her digitalnative resident students master medical electronic recordsbut is troubled by the fact that they enter data with their eyes focused on their digital devices  not on the patient in the room with them preoccupation with technology acts as a screen between the student and the patients real emotion  real fear  and real concern it may also prevent these residents from noticing physical symptoms that the patient fails to mention the easy busyness of medical record entry is a way to sidestep the more challenging dynamics of human connection but experienced physicians know that interpersonal skills are essential to mastering the art and science of medical diagnosis,2,B1
civilians who volunteer generally wish to escape  not to share  privatizations worse than their own,3,B2
long gone was the cheery welcome of the seaside hotelier  replaced by a weary nostalgia for the good old days,2,B1
i enjoy painting  cutting the lawn and working in the garden when i have time thats therapy for me i enjoy working with my hands,1,A2
how much he loved being alone except when he didnt  except when it got to be too much,0,A1
even though the judge would charge the jury that they should listen to all the evidence before they made up their minds  the chances were likely that 100 of them will have already decided if william was guilty or not before the trial was over,1,A2
solution  a method of fixing a problem or situation solution is a positive netiquette word networketiquettenet,1,A2
she moved to get up  but the man held her down as her car exploded next bree lifted her head and looked back at the wall of fire behind them well were well and truly screwed now,2,B1
to talk well and eloquently is a very great art  but that an equally great one is to know the right moment to stop,1,A2
if youre with someone  but youre constantly worried about what they think of you  youre with the wrong person,1,A2
the one thing you have that nobody else has is you your voice  your mind  your story  your vision so write and draw and build and play and dance and live as only you can the moment that you feel that just possibly you are walking down the street nakedthats the moment you may be starting to get it right,0,A1
theres always the motivation of wanting to win everybody has that but a champion needs  in his attitude  a motivation above and beyond winning,2,B1
dare not to surrender your faith to your trials and tribulations  they only come to strengthen your mind for your future challenges and obstacles,3,B2
dont sacrifice the present and attempt to achieve the impossible to completely correct the past its gone learn from it and move on,1,A2
the source for any mental trauma is never the other person  but its your own mind psyching you into believing that youre vulnerable at first  thereby gradually increasing the intensity of suffering as it justifies through illusionary reasons as falsity forms its very foundation with fabrication as prime element  all thanks to the unconscious recess  thus driving one into a lifenegative state with violent mood swings followed by depression and onset of suicidal tendencies beware of your mind  for its not you,3,B2
a piece of me is gone  she told me once while we were bra shopping i think were made up of all these different pieces and every time someone goes  youre left with less of yourself,0,A1
the unity of nigeria will only come if we overcome and overgrow tribe  materialism and selfish human nature,3,B2
many great ideas are not unique they only become unique when the men who have the wherewithal actually to implement them come together,1,A2
people usualy use move on when their heart broke because of love most dont understand when father  mother  sister or brother has died  you might have needed more strength to move on it was like living with no air,0,A1
candace doesnt have to worry about me being busy in my world without you  because you are my world,0,A1
most people dont want to change theyre comfortable and set in their ways but in order to change  you have to be able to agitate people at times and i think thats something thats very necessary for us to improve as a country,0,A1
a person should be important to you for you to be also important to the person so that you will be important to any other person,0,A1
there are times when fear is good it must keep its watchful place at the hearts controls,0,A1
god always smiles because of our little deeds done with a good heart  but to make the heart of god always beat for you  win and keep a soul for him,1,A2
nothing is perfect and this is the perfect reason for men to keep on learning  understanding and discovering,0,A1
before you contemplate becoming immersed in the collective  make sure you become immersed in the liberation of your own individualism rescue yourself from seeking refuge in group think  or from being transfixed on the false security of cooperative agendas  and first master the essence of your own individuality only then will you really be a valuable part of a collective,4,C1
the universe is like a safe to which there is a combination  but the combination is locked up in the safe,2,B1
sometimes the right thing to do will cost us our greatest sacrifices  but the rewards will always outweigh our losses,2,B1
we cannot see the best things in life  we can only feel them a poet tries to describe those indescribable feelings in a language of emotions and inner perceptions,1,A2
learn to be what you are  and learn to resign with a good grace all that you are not,1,A2
you want to know why i am giving you a choice  gabriel ill tell you why there is a core inside of you that has never been touched  not by me  not by michael  not by mademoiselle childers i want to see what it will take to break into that core i want to see it now,1,A2
you cant live your life for someone else  and you cant let someone else tell you how to live your life people spend so much time judging the shit out of each otherits a waste of energy,0,A1
in our worldly perceptions of jesus  we tend to embrace the kindness of his love  be encouraged  but not the discipline of his love  and sin no more  but with the whole scope of his love  or maturity in christ  we begin relying on him for guidance where we would prefer him to walk beside us rather than behind us,2,B1
politics  according to the social doctrine of the church  is one of the highest forms of charity  because it serves the common good i cannot wash my hands  eh we all have to give something,1,A2
the most important things to remember about back story are that  a  everyone has a history and  b  most of it isnt very interesting,0,A1
the role of your genius spirit is to essentially heal  transform  and evolve consciousness,4,C1
music is very powerful and can make you feel whatever it is if you listen to gospel  youre going to feel thankful  and youre going to want to call up people that you hate and tell them that you love them when you listen to sexual music  it gets you in the mood,0,A1
when you look at your passions  your interests  and your own self  and see nothing of worth  then know that life will feed this belief back to you if you can find a way to value yourself without exerting your will or your effort anymore  you will find that you need to do less  to shine more,1,A2
there are many gods    gods of beauty and magic  gods of the garden  gods in our own backyards  but we go off to foreign countries to find new ones  we reach to the stars to find new ones    the god of the church is a jealous god  he cannot live in peace with other gods,1,A2
though she had not had the strength to shake off the spell that bound her to him she had lost all spontaneity of feeling  and seemed to herself to be passively awaiting a fate she could not avert,3,B2
compassion is sometimes the fatal capacity for feeling what it is like to live inside somebody elses skin it is the knowledge that there can never really be any peace and joy for me until there is peace and joy finally for you too,2,B1
i hope that people will finally come to realize that there is only one race  the human race  and that we are all members of it,0,A1
ending poverty calls for humility  honesty  freedom from ideology and refusal to accept cruel simplicities about anyones human potential it requires listening to the wisdom and cutting the nonsense from both the right and the left,3,B2
we may find great relief and inexplicable solace in purposefully looking beyond grief in order to determine the provision made within it,3,B2
to become a writer i had to learn to interrupt  to speak up  to speak a little louder  and then louder  and then to just speak in my own voice which is not loud at all,0,A1
